Id,Col_1,Col_2,Col_5,Col_6,Col_7,Col_10,Col_13,Col_14,Col_16,Col_18,Col_19,Col_21,Col_23,Col_26,Col_30,Col_31,impact_encoded_Col_3,impact_encoded_Col_4,impact_encoded_Col_8,impact_encoded_Col_9,impact_encoded_Col_11,impact_encoded_Col_12,impact_encoded_Col_15,impact_encoded_Col_17,impact_encoded_Col_20,impact_encoded_Col_22,impact_encoded_Col_24,impact_encoded_Col_25,impact_encoded_Col_27,impact_encoded_Col_28,impact_encoded_Col_29,impact_encoded_Col_32,Score
1,2,1,1,1,12,13,3,40,16,3,8,2,1,12,15,15,0,1,4,1,2,5,8,5,0,0,1,1,9,0,1,1,4
2,17,10,0,3,8,5,1,40,16,2,1,4,2,3,15,3,0,0,2,1,3,0,12,5,0,0,1,0,5,0,1,1,2
3,11,1,0,2,6,15,0,65,7,0,0,4,3,19,10,18,0,0,4,1,3,0,10,8,0,0,1,0,5,0,3,1,4
4,11,6,0,3,1,24,1,60,11,0,6,3,1,16,15,18,0,0,4,1,0,5,1,0,1,1,1,0,1,0,1,1,1
5,13,1,0,3,3,12,1,37,7,1,3,1,2,10,5,9,0,0,2,0,3,5,17,8,1,0,1,0,5,0,1,1,5
6,12,6,0,1,5,19,0,36,7,0,0,1,1,2,10,12,2,0,4,1,2,0,8,0,1,0,1,0,1,0,1,1,2
7,15,10,0,2,8,19,1,68,13,1,3,3,1,5,5,18,0,0,4,1,2,2,1,2,0,0,1,0,1,0,1,1,1
8,10,6,0,1,5,16,2,34,8,2,3,0,1,9,5,3,0,1,4,1,3,0,10,6,1,0,1,1,5,0,1,1,4
9,13,10,0,2,17,0,1,76,8,1,10,0,1,13,5,18,3,0,2,1,3,5,17,5,1,1,1,0,5,0,1,1,6
10,16,1,0,0,15,19,2,53,7,2,6,2,1,12,5,18,0,0,0,3,2,5,8,1,1,0,1,0,1,0,2,0,12
11,8,10,0,2,4,2,1,53,9,2,2,2,1,4,0,18,0,0,0,1,3,1,17,8,0,0,1,0,5,5,1,0,4
12,5,10,0,3,7,2,1,27,16,2,0,1,1,2,0,12,1,0,2,1,2,7,4,5,0,1,1,0,0,0,1,0,1
13,17,6,0,2,7,1,1,6,12,1,0,5,1,10,15,12,1,0,0,1,2,5,8,5,1,0,1,0,9,0,1,0,16
14,12,10,0,7,1,3,1,5,10,1,6,6,1,12,10,9,0,0,0,1,2,1,1,0,0,0,1,0,1,5,1,0,1
15,12,1,1,1,6,9,1,8,8,1,0,5,3,3,5,15,0,0,4,1,3,0,17,6,0,1,1,0,5,0,1,1,1
16,17,1,0,4,7,1,5,87,11,5,6,3,1,13,15,12,0,0,4,1,2,5,1,5,0,0,1,0,1,0,1,1,11
17,11,10,0,5,5,19,0,51,3,0,5,5,1,16,15,9,0,0,4,1,2,0,8,0,0,0,1,0,1,1,1,1,4
18,3,10,0,2,16,20,2,39,6,4,3,4,1,7,5,9,0,0,0,1,3,5,13,8,1,0,3,0,5,0,1,0,8
19,9,0,0,1,4,4,1,73,8,1,0,4,1,10,5,15,0,1,4,1,3,6,10,6,0,0,1,1,5,0,1,1,1
20,14,6,0,3,6,6,0,66,8,0,0,6,3,13,10,18,1,0,0,1,0,5,1,0,1,0,1,0,1,0,1,0,2
21,16,6,0,5,4,10,1,55,5,1,8,4,2,12,15,18,0,0,4,1,2,5,8,0,1,0,1,0,9,1,1,1,6
22,20,0,1,2,9,10,0,37,13,0,1,5,1,12,0,9,0,0,4,1,2,7,8,2,1,1,2,0,9,0,1,1,5
23,3,6,0,2,12,18,1,49,22,1,0,3,1,4,5,0,0,0,4,1,2,5,0,2,1,1,1,0,9,0,1,1,2
24,15,10,0,6,2,17,0,83,10,0,10,3,3,12,15,0,0,0,3,1,2,5,1,5,1,0,1,0,1,6,1,1,17
