Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32,impact_encoded_Col_3,impact_encoded_Col_4,impact_encoded_Col_8,impact_encoded_Col_9,impact_encoded_Col_11,impact_encoded_Col_12,impact_encoded_Col_15,impact_encoded_Col_17,impact_encoded_Col_20,impact_encoded_Col_22,impact_encoded_Col_24,impact_encoded_Col_25,impact_encoded_Col_27,impact_encoded_Col_28,impact_encoded_Col_29,impact_encoded_Col_32
15,1,a,a,0,3,6,e,b,16,d,b,1,76,j,7,i,1,4,a,3,a,3,a,a,12,f,a,b,5,18,b,4.041636477,4.01820237,3.957420699,3.992100297,4.599954428,3.062433287,4.695554616,4.711941898,4.029735504,4.01037389,4.116537882,4.01753988,4.61916559,4.039580635,3.875914521,4.014364698
14,10,a,a,0,1,7,e,b,2,d,a,0,99,k,12,g,0,4,a,6,a,1,b,a,12,h,a,b,5,15,b,4.041636477,4.01820237,3.957420699,3.992100297,4.599954428,3.638751344,4.583380534,4.391946448,4.029735504,4.01037389,3.935452502,4.01753988,4.530829172,4.039580635,3.875914521,4.014364698
5,10,a,a,0,3,2,d,b,16,c,f,1,70,b,12,a,1,4,a,6,a,1,b,a,14,b,f,b,10,15,b,4.041636477,4.01820237,4.199601087,3.992100297,3.537367733,4.337362962,3.07903989,3.127327437,4.029735504,4.01037389,3.935452502,4.01753988,3.325742752,2.41415559,3.875914521,4.014364698
19,5,b,a,0,3,8,a,b,19,c,c,0,36,e,17,f,1,0,b,4,a,3,b,a,4,b,a,b,15,12,a,3.724885506,4.01820237,3.821227377,3.992100297,3.537367733,3.749206554,3.811011832,4.00498571,3.972195449,4.01037389,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,3.977557721
9,6,a,b,0,0,8,e,b,16,d,a,1,94,r,13,i,1,5,a,0,a,1,b,a,12,f,a,b,15,18,b,4.041636477,3.945745585,3.957420699,3.992100297,4.599954428,3.638751344,4.544789047,4.711941898,4.029735504,4.01037389,3.935452502,4.01753988,4.61916559,4.039580635,3.875914521,4.014364698
2,5,a,a,0,1,16,d,b,15,a,a,1,48,b,9,a,3,2,b,2,a,3,b,a,6,b,a,b,15,15,a,4.041636477,4.01820237,4.199601087,3.992100297,3.035159656,3.638751344,3.07903989,3.127327437,3.972195449,4.01037389,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,3.977557721
0,6,b,a,0,0,8,a,b,8,a,f,1,70,b,8,c,1,0,b,2,a,3,b,a,3,b,a,b,10,9,a,3.724885506,4.01820237,3.821227377,3.992100297,3.035159656,4.337362962,3.07903989,3.693053328,3.972195449,4.01037389,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,3.977557721
23,6,b,a,0,0,13,a,b,4,a,f,0,68,i,18,c,0,0,a,2,b,1,b,a,3,b,a,b,10,9,a,3.724885506,4.01820237,3.821227377,3.992100297,3.035159656,4.337362962,3.795033168,3.693053328,4.029735504,3.991403243,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,3.977557721
17,1,a,a,0,2,7,c,b,7,d,f,1,97,r,13,i,1,1,a,2,a,1,b,a,14,f,a,b,5,12,b,4.041636477,4.01820237,4.231280828,3.992100297,4.599954428,4.337362962,4.544789047,4.711941898,4.029735504,4.01037389,3.935452502,4.01753988,4.61916559,4.039580635,3.875914521,4.014364698
17,6,a,a,0,3,7,e,b,1,c,f,1,90,b,18,f,1,0,a,1,b,3,b,a,10,b,a,b,10,15,b,4.041636477,4.01820237,3.957420699,3.992100297,3.537367733,4.337362962,3.07903989,4.00498571,4.029735504,3.991403243,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,4.014364698
6,5,a,a,0,0,4,e,b,17,e,a,1,99,k,6,i,1,0,a,5,a,3,b,a,6,k,a,b,10,0,b,4.041636477,4.01820237,3.957420699,3.992100297,4.537016496,3.638751344,4.583380534,4.711941898,4.029735504,4.01037389,3.935452502,4.01753988,5.018884679,4.039580635,3.875914521,4.014364698
5,5,a,b,0,3,4,e,b,19,c,c,1,89,b,9,a,1,4,a,3,a,3,b,b,12,b,a,a,15,15,b,4.041636477,3.945745585,3.957420699,3.992100297,3.537367733,3.749206554,3.07903989,3.127327437,4.029735504,4.01037389,3.935452502,3.944777884,3.325742752,4.039580635,4.240611559,4.014364698
4,1,b,a,0,2,15,d,b,0,c,f,1,42,i,7,b,5,0,b,3,a,3,b,a,4,b,a,b,5,18,b,3.724885506,4.01820237,4.199601087,3.992100297,3.537367733,4.337362962,3.795033168,4.121576051,3.972195449,4.01037389,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,4.014364698
16,6,a,b,0,1,15,c,b,0,d,a,0,83,n,7,i,2,1,b,3,b,1,b,b,14,f,a,b,10,12,b,4.041636477,3.945745585,4.231280828,3.992100297,4.599954428,3.638751344,4.65852624,4.711941898,3.972195449,3.991403243,3.935452502,3.944777884,4.61916559,4.039580635,3.875914521,4.014364698
5,1,a,a,0,1,5,d,b,6,d,a,1,42,n,10,i,2,0,a,5,a,3,b,a,6,f,a,a,10,15,b,4.041636477,4.01820237,4.199601087,3.992100297,4.599954428,3.638751344,4.65852624,4.711941898,4.029735504,4.01037389,3.935452502,4.01753988,4.61916559,4.039580635,4.240611559,4.014364698
6,6,a,b,0,2,9,e,b,14,d,a,2,75,j,15,i,2,7,a,5,b,3,b,a,9,h,b,b,5,15,b,4.041636477,3.945745585,3.957420699,3.992100297,4.599954428,3.638751344,4.695554616,4.711941898,4.029735504,3.991403243,3.935452502,4.01753988,4.530829172,5.39119517,3.875914521,4.014364698
16,10,a,b,0,3,17,e,b,7,c,a,3,40,i,9,a,5,5,a,1,a,3,b,b,10,b,a,b,15,6,b,4.041636477,3.945745585,3.957420699,3.992100297,3.537367733,3.638751344,3.795033168,3.127327437,4.029735504,4.01037389,3.935452502,3.944777884,3.325742752,4.039580635,3.875914521,4.014364698
