Id,Col_1,Col_2,Col_5,Col_6,Col_7,Col_10,Col_13,Col_14,Col_16,Col_18,Col_19,Col_21,Col_23,Col_26,Col_30,Col_31,impact_encoded_Col_3_a,impact_encoded_Col_3_b,impact_encoded_Col_3_c,impact_encoded_Col_3_d,impact_encoded_Col_3_e,impact_encoded_Col_3_f,impact_encoded_Col_4_a,impact_encoded_Col_4_b,impact_encoded_Col_8_a,impact_encoded_Col_8_b,impact_encoded_Col_8_c,impact_encoded_Col_8_d,impact_encoded_Col_8_e,impact_encoded_Col_9_a,impact_encoded_Col_9_b,impact_encoded_Col_9_c,impact_encoded_Col_9_d,impact_encoded_Col_11_a,impact_encoded_Col_11_b,impact_encoded_Col_11_c,impact_encoded_Col_11_d,impact_encoded_Col_11_e,impact_encoded_Col_11_f,impact_encoded_Col_12_a,impact_encoded_Col_12_b,impact_encoded_Col_12_c,impact_encoded_Col_12_d,impact_encoded_Col_12_e,impact_encoded_Col_12_f,impact_encoded_Col_12_g,impact_encoded_Col_12_h,impact_encoded_Col_15_a,impact_encoded_Col_15_b,impact_encoded_Col_15_c,impact_encoded_Col_15_d,impact_encoded_Col_15_e,impact_encoded_Col_15_f,impact_encoded_Col_15_g,impact_encoded_Col_15_h,impact_encoded_Col_15_i,impact_encoded_Col_15_j,impact_encoded_Col_15_k,impact_encoded_Col_15_l,impact_encoded_Col_15_m,impact_encoded_Col_15_n,impact_encoded_Col_15_o,impact_encoded_Col_15_p,impact_encoded_Col_15_q,impact_encoded_Col_15_r,impact_encoded_Col_17_a,impact_encoded_Col_17_b,impact_encoded_Col_17_c,impact_encoded_Col_17_d,impact_encoded_Col_17_e,impact_encoded_Col_17_f,impact_encoded_Col_17_g,impact_encoded_Col_17_h,impact_encoded_Col_17_i,impact_encoded_Col_17_j,impact_encoded_Col_20_a,impact_encoded_Col_20_b,impact_encoded_Col_22_a,impact_encoded_Col_22_b,impact_encoded_Col_24_a,impact_encoded_Col_24_b,impact_encoded_Col_24_c,impact_encoded_Col_24_d,impact_encoded_Col_25_a,impact_encoded_Col_25_b,impact_encoded_Col_27_a,impact_encoded_Col_27_b,impact_encoded_Col_27_c,impact_encoded_Col_27_d,impact_encoded_Col_27_e,impact_encoded_Col_27_f,impact_encoded_Col_27_g,impact_encoded_Col_27_h,impact_encoded_Col_27_i,impact_encoded_Col_27_j,impact_encoded_Col_27_k,impact_encoded_Col_27_l,impact_encoded_Col_28_a,impact_encoded_Col_28_b,impact_encoded_Col_28_c,impact_encoded_Col_28_d,impact_encoded_Col_28_e,impact_encoded_Col_28_f,impact_encoded_Col_28_g,impact_encoded_Col_28_h,impact_encoded_Col_29_a,impact_encoded_Col_29_b,impact_encoded_Col_29_c,impact_encoded_Col_29_d,impact_encoded_Col_32_a,impact_encoded_Col_32_b
32001,15,1,0,3,6,16,1,76,7,1,4,3,3,12,5,18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
32002,14,10,0,1,7,2,0,99,12,0,4,6,1,12,5,15,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
32003,5,10,0,3,2,16,1,70,12,1,4,6,1,14,10,15,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
32004,19,5,0,3,8,19,0,36,17,1,0,4,3,4,15,12,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
32005,9,6,0,0,8,16,1,94,13,1,5,0,1,12,15,18,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
32006,2,5,0,1,16,15,1,48,9,3,2,2,3,6,15,15,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
32007,0,6,0,0,8,8,1,70,8,1,0,2,3,3,10,9,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
32008,23,6,0,0,13,4,0,68,18,0,0,2,1,3,10,9,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
32009,17,1,0,2,7,7,1,97,13,1,1,2,1,14,5,12,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
32010,17,6,0,3,7,1,1,90,18,1,0,1,3,10,10,15,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
